firstName,lastName,temporaryDisplayName,personId,teamId,jersey,pos,heightFeet,heightInches,heightMeters,weightPounds,weightKilograms,dateOfBirthUTC,nbaDebutYear,yearsPro,collegeName,lastAffiliation,country
Goran,Dragic,"Dragic, Goran",201609,1610612751,9,G,6,3,1.9,190.0,86.2,1986-05-06,2008,13,Union Olimpija,Union Olimpija/Slovenia,Slovenia
Blake,Griffin,"Griffin, Blake",201933,1610612751,2,F,6,9,2.06,250.0,113.4,1989-03-16,2010,11,Oklahoma,Oklahoma/USA,USA
James,Harden,"Harden, James",201935,1610612755,1,G,6,5,1.96,220.0,99.8,1989-08-26,2009,12,Arizona State,Arizona State/USA,USA
Ricky,Rubio,"Rubio, Ricky",201937,1610612754,99,G,6,2,1.88,190.0,86.2,1990-10-21,2011,10,FC Barcelona,FC Barcelona/Spain,Spain
Stephen,Curry,"Curry, Stephen",201939,1610612744,30,G,6,2,1.88,185.0,83.9,1988-03-14,2009,12,Davidson,Davidson/USA,USA
DeMar,DeRozan,"DeRozan, DeMar",201942,1610612741,11,G-F,6,6,1.98,220.0,99.8,1989-08-07,2009,12,Southern California,Southern California/USA,USA
Jrue,Holiday,"Holiday, Jrue",201950,1610612749,21,G,6,3,1.9,205.0,93.0,1990-06-12,2009,12,UCLA,UCLA/USA,USA
Taj,Gibson,"Gibson, Taj",201959,1610612752,67,F,6,9,2.06,232.0,105.2,1985-06-24,2009,12,Southern California,Southern California/USA,USA
Wayne,Ellington,"Ellington, Wayne",201961,1610612747,2,G,6,4,1.93,207.0,93.9,1987-11-29,2009,12,North Carolina,North Carolina/USA,USA
Patrick,Beverley,"Beverley, Patrick",201976,1610612750,22,G,6,1,1.85,180.0,81.6,1988-07-12,2012,9,Arkansas,Arkansas/USA,USA
Danny,Green,"Green, Danny",201980,1610612755,14,G,6,6,1.98,215.0,97.5,1987-06-22,2009,12,North Carolina,North Carolina/USA,USA
Patty,Mills,"Mills, Patty",201988,1610612751,8,G,6,0,1.83,180.0,81.6,1988-08-11,2009,12,St.Mary's College of California,St.Mary's College of California/Australia,Australia
Garrett,Temple,"Temple, Garrett",202066,1610612740,41,G-F,6,5,1.96,195.0,88.5,1986-05-08,2009,11,Louisiana State,Louisiana State/USA,USA
Wesley,Matthews,"Matthews, Wesley",202083,1610612749,23,G,6,4,1.93,220.0,99.8,1986-10-14,2009,12,Marquette,Marquette/USA,USA
John,Wall,"Wall, John",202322,1610612745,1,G,6,3,1.9,210.0,95.3,1990-09-06,2010,10,Kentucky,Kentucky/USA,USA
Derrick,Favors,"Favors, Derrick",202324,1610612760,15,F,6,9,2.06,265.0,120.2,1991-07-15,2010,11,Georgia Tech,Georgia Tech/USA,USA
DeMarcus,Cousins,"Cousins, DeMarcus",202326,1610612743,4,C,6,10,2.08,270.0,122.5,1990-08-13,2010,10,Kentucky,Kentucky/USA,USA
Greg,Monroe,"Monroe, Greg",202328,1610612750,15,F-C,6,10,2.08,250.0,113.4,1990-06-04,2010,9,Georgetown,Georgetown/USA,USA
Gordon,Hayward,"Hayward, Gordon",202330,1610612766,20,F,6,7,2.01,225.0,102.1,1990-03-23,2010,11,Butler,Butler/USA,USA
Paul,George,"George, Paul",202331,1610612746,13,F,6,8,2.03,220.0,99.8,1990-05-02,2010,11,Fresno State,Fresno State/USA,USA
